tickerSymbol,Risk,EPS,MarketCap,ROE,LastPrice,Beta,MrktCapRank,TtmPe,PB,PE
ADVANIHOTR,3.261972931,2.700173629,654.094826,37.08491197,70.76,1.393056929,1680,28.5257229,9.098550925,26.2057222
SNOWMAN,3.544585607,0.760677031,1204.370268,3.027307697,72.08,1.226068955,1371,136.549917,2.880855064,94.75769221
BYKE,3.360783629,1.301215234,380.4887454,3.131743485,72.78,1.683419426,2000,63.09929443,1.884074005,67.22415996
IMAGICAA,3.688084535,12.10900018,4011.610505,87.03690295,73.97,1.667547563,851,58.41017043,5.049417228,7.416136109
LLOYDSENGG,4.087932635,0.735005719,8612.001655,26.32507378,74.11,0.957245398,594,88.44615031,20.94358379,107.8657522
BLKASHYAP,3.492721241,2.32966643,1688.99648,11.16223712,74.92,1.940556296,1220,28.05641993,3.402902204,32.15911043
CONFIPET,3.346810338,3.370428069,2498.452643,9.408630843,75.2,1.50448533,1030,35.82010958,1.971212449,24.64686439
SPIC,3.203978641,5.551945269,1531.578967,10.96935063,75.21,1.619420007,1267,14.34465643,1.423903393,13.54660328
UGARSUGAR,2.944140341,1.88,846.675,9.280386134,75.26,0.948708,1543,-100.9147795,3.60333234,40.03191489
ONMOBILE,3.812032321,1.436183768,822.8209354,2.33692152,77.39,1.818621908,1555,-27.17374291,1.26654086,53.99087503
MMTC,4.10059309,1.2812,11725.5,12.65407712,78.17,1.589839085,483,56.85642244,7.212674081,61.01311271
AVTNPL,2.639889658,3.499382732,1198.779648,11.84419625,78.72,1.085857114,1375,26.26598703,2.553202522,22.49539591
TNPETRO,2.513256127,5.566208685,720.9414212,5.961266055,80.13,1.15497611,1629,19.69785304,0.838830686,14.39579515
HPAL,2.829772692,2.238918022,746.1147229,12.97137092,81.21,,1603,36.23675196,4.418017071,36.27198459
IDBI,3.278210658,5.383076178,88277.22186,11.85070499,82.1,1.57760004,115,13.18093778,1.723292073,15.25150254
NHPC,3.325440978,3.608170674,83363.74385,8.455730666,82.99,0.548043408,121,27.98117124,1.8992747,23.00057495
CUPID,3.333091478,0.270209809,2228.688109,17.01891465,83.05,0.797015733,1078,43.79422497,7.397152607,55.91289787
GATEWAY,2.314978456,5.128252998,4152.539921,13.71967381,83.11,,842,18.30683737,2.133073713,16.20629872
JAGRAN,2.620659091,8.441828332,1830.907736,8.752983322,84.12,0.712774297,1177,10.12502204,0.838270144,9.964666028
RUBFILA,3.200742935,4.682358027,399.3004784,9.722594222,84.21,,1955,17.28573499,1.47550247,15.71430454
INTLCONV,3.696133599,9.741816109,533.777938,25.57281633,84.22,,1790,6.349963574,1.955517065,8.555504696
PGINVIT,0.752894711,10.18407489,11516.94988,11.22973301,86.03,,487,15.47186904,1.408387736,12.42724562
SHREDIGCEM,2.326681507,5.999766735,1285.245147,24.84679508,86.95,0.319363485,1343,17.18242175,3.36839592,14.64166265
RICOAUTO,3.911876029,2.834017075,1198.219245,5.420613601,88.57,1.306534038,1377,31.82521235,1.657310952,31.25245814
MANAKSIA,2.682578572,11.52836256,581.3525576,8.734305996,88.71,0.986838433,1743,9.351014276,1.003214132,7.694937889
INDSWFTLAB,3.659746263,71.13999755,559.6116511,52.18517761,94.71,0.164398956,1765,1.498611888,0.600802683,1.329338554
GEEKAYWIRE,3.837720146,12.28154101,496.2087,42.09663314,94.95,-0.422446707,1836,12.55588816,4.53863258,12.88519086
APOLLO,3.022362008,1.270209992,2911.95731,6.889375927,95.01,1.35479223,972,61.93018523,5.608330399,93.57189298
NBCC,4.346290037,1.487306212,25833.6,17.70317632,95.68,1.664156721,293,54.55075279,10.70916018,64.33149887
ANDHRAPAP,2.156688138,17.08522338,1909.757273,19.55129957,96.04,1.516905164,1157,10.03656334,1.008745654,5.621231744
J&KBANK,3.076514874,16.60701694,10732.12428,16.03709351,97.46,1.769654027,509,5.284183716,0.880207557,6.059170676
ELGIRUBCO,4.186734257,2.32967033,489.489,6.238630284,97.8,0.925087671,1845,39.03421053,2.579652174,41.98018868
SPORTKING,3.240919904,5.346557228,1701.09378,7.807384554,98.31,,1216,18.19157074,1.88501466,24.18043753
RADHIKAJWE,4.568872711,6.995762712,1160.648,20.62546848,98.36,,1394,22.84740157,4.381291759,23.43323238
SATIA,2.543627599,21.119,983.6,25.36070466,98.36,0.695854415,1469,6.90245614,1.055036523,4.657417491
DCW,3.897662587,0.530568654,2921.444358,1.522738985,98.98,1.408318633,969,343.6993363,2.831625207,186.5545567
ANDHRSUGAR,2.444547434,5.541726039,1341.826874,4.528299612,98.98,1.339597145,1323,24.59360106,0.798478336,17.86482324
CANBK,2.56147914,16.84395041,92121.5342,17.75635245,101.56,1.514970244,107,5.957156921,0.989132546,6.029464439
JAYBARMARU,3.142833232,2.976443418,1102.851,6.155962514,101.88,1.553835326,1421,41.79048882,2.04724522,34.22877095
MAWANASUG,2.75370173,9.625298014,400.4393368,9.477062488,102.37,1.086533277,1953,10.02853335,0.976109928,10.63583896
SDBL,3.208398563,4.549386853,2016.765352,17.86285868,103.14,1.295059753,1133,20.74434635,3.400265296,23.31520638
TPLPLASTEH,4.264723311,2.543491917,804.678948,16.14649034,103.16,1.599899821,1566,36.91187835,6.17321786,40.55841472
NRL,4.847860346,1.050419209,718.0325267,8.332851777,103.36,,1634,60.90182584,7.819149806,99.58842257
SARLAPOLY,4.321963792,3.939978204,866.510631,7.98970324,103.77,1.390295211,1530,15.50385813,2.022761639,26.33770915
EMAMIPAP,2.85223713,13.9341031,627.7986419,11.44734966,103.77,1.680733185,1711,7.220225898,0.810994099,7.447196226
JAMNAAUTO,2.816507928,5.151633629,4154.34325,24.34679546,104.13,1.078510242,841,21.20861369,4.599684725,20.22365519
UFO,3.359238045,4.260173901,410.8629374,5.881506529,106.15,0.891627339,1937,73.63135079,1.429983772,25.12923165
RADIOCITY,135.3832301,0.198156924,518.3763251,1.112238685,106.2,0.945029875,1812,84.84064241,0.831690934,75.67537593
SHRIRAMPPS,3.704990732,4.435626949,1818.741306,6.092825369,106.78,,1180,33.0020197,1.423950915,24.09886452
SAURASHCEM,3.597918453,6.750050743,1178.693848,6.254454641,106.97,,1386,53.43127146,1.270500192,20.82497965
ARIHANTCAP,3.696270795,6.770541182,1118.900262,24.34509316,107.47,-0.184021545,1413,13.48235042,3.469243029,15.87317721
SATINDLTD,3.593091785,22.80762258,1200.735788,50.16971571,108.39,,1374,26.14273433,1.66613816,4.655458234
CLEDUCATE,3.666894584,2.763911762,588.1027715,5.450930779,108.71,0.931167802,1739,49.5453051,2.111527975,38.99885753
SBGLP,3.448994533,0.291363799,1888.678448,77.51743375,108.91,,1164,115.023048,31.89257764,67.96252062
XCHANGING,3.785372821,1.229761492,1216.417175,2.659781005,109.19,1.325846062,1366,41.53011864,3.436789216,88.78957482
AUTOIND,4.270651024,4.209103758,427.6207249,9.686946249,109.75,1.99759656,1915,19.64266077,2.145182728,26.07443445
ZIMLAB,3.168287913,3.540217922,535.6428733,7.856980187,109.93,,1786,33.22846609,2.243530359,31.05176077
MUNJALAU,3.851438569,3.848,1108.7,9.557399036,110.87,1.296491621,1418,24.49083278,2.698420425,28.81237006
BPL,3.922502909,2.736047886,543.7287876,3.37454985,111.02,1.794072437,1775,28.28973921,1.34683012,40.57677519
BANKINDIA,2.765649817,15.16442196,50775.90471,9.996776859,111.53,1.616997481,178,6.748041038,0.717761082,7.73497054
EDELWEISS,4.064860548,3.228839091,10345.84877,6.055045079,112.51,1.689547856,520,22.32981259,1.710258356,24.59257118
BIGBLOC,4.016844691,2.182577172,1593.435066,33.27410758,112.55,1.051339683,1248,66.86676736,14.66846236,51.56747787
NELCAST,2.738398026,6.252787318,986.3326044,10.95658654,113.37,0.913311568,1466,20.39141212,1.88988811,18.13111405
SJVN,4.103142481,2.319306629,44673.91155,6.526511087,113.68,0.622887827,196,44.75088307,3.174926287,49.01464885
NDLVENTURE,4.045345635,0.478147458,382.913674,2.464600077,113.72,1.243275993,1995,361.2393151,6.101237636,237.8345801
DELTACORP,2.807640918,9.123839893,3077.493218,10.30747707,114.93,1.726757928,953,19.78459156,1.222289695,12.60079932
PNBGILTS,3.299307763,3.8553385,2084.337342,5.359569999,115.79,1.020975202,1115,9.440361165,1.567453782,30.03367927
SAIL,3.549965944,7.42440679,48021.48701,5.483642922,116.26,1.942419896,190,18.9993737,0.840988662,15.65916353
NFL,4.137251106,3.058634461,5741.239015,5.889024945,117.03,1.387340809,733,15.86152894,2.247702481,38.26217271
KUANTUM,2.721625988,21.06490413,1029.099989,17.33603059,117.93,1.523741548,1448,7.139586434,0.915691586,5.598411427
FOCUS,3.049840252,5.99,781.2161709,36.98083067,117.95,0.612135602,1579,22.67681193,8.685004679,19.93915699
MUFIN,3.943255165,0.692538867,1946.392229,8.079843129,119.14,,1150,103.8075856,7.973749403,121.119616
FOODSIN,3.410627874,6.818820386,875.6675632,10.33056689,119.76,,1523,32.25294892,2.19707839,23.84715586
GEOJITFSL,4.356784832,5.453571521,3380.114326,16.95054093,121.14,1.248531039,915,17.97933152,3.70809536,23.33527322
ZEEL,4.294418601,1.472120158,11740.42887,1.309580592,122.23,1.344757758,482,29.39590093,1.079798108,83.02990715
UNIONBANK,2.772480143,19.07213617,93801.7457,15.64288944,122.88,1.138148335,102,6.153746709,0.961106503,6.798646797
DCBBANK,2.440162797,17.17009958,3861.193442,11.12273253,123.04,1.384572236,867,6.784855545,0.761385894,7.204122324
GAEL,2.775188924,7.540486675,5684.76416,13.28195055,123.94,0.679559263,738,16.80739189,2.049309536,16.43660487
WSI,4.152152433,10.19206297,790.33047,46.3978654,124.69,0.557817776,1577,20.73269858,5.750785636,16.83344984
BEPL,3.358266133,7.207519364,3136.61203,18.0198915,126.04,1.609964771,944,17.39662801,3.39908974,17.48682628
DOLATALGO,4.715327689,8.938636364,2222.528,21.95811321,126.28,0.796405427,1081,8.965421541,2.802648138,14.12743453
ALEMBICLTD,3.335654912,10.46063119,3326.865364,12.60012056,129.11,1.417723075,922,10.71833939,1.522195749,12.38548588
RUCHIRA,2.423568583,16.4851734,386.1941059,12.38109618,129.4,1.44020451,1982,7.83196321,0.932205527,7.849473697
SOUTHWEST,3.828034948,2.963902747,361.894128,7.03171499,129.7,0.723381146,2032,38.95523445,2.978552494,43.75987037
DJML,2.885550414,1.551540474,423.8124854,16.21621622,130.47,,1924,60.89259848,12.63226484,84.08977886
LEMONTREE,2.541871897,1.875395284,10376.61531,10.03294086,131.05,1.286757524,518,68.34814458,6.710045272,69.88560958
JAYSREETEA,3.622936932,5.044200192,384.3593653,4.924708779,133.1,1.170454746,1992,58.06032708,1.322003733,29.56610502
SUMIT,3.180289282,2.942422288,409.3464099,9.516760072,133.83,0.741759288,1939,38.47240694,4.061379203,45.48293443
JMFINANCIL,3.65364484,4.29230873,12803.43887,3.671434228,133.96,1.001662414,463,28.33496851,1.158050301,31.24009094
GANESHBE,3.072000208,8.958264831,968.1137336,14.14576306,134.48,,1476,15.30856631,1.909494544,15.75705947
WEL,4.781105454,0.757417468,1809.108,13.76457825,135,0.293473271,1181,153.18442,20.58846023,178.2372414
MUKANDLTD,3.089157625,7.107484678,1974.098382,11.49965848,136.62,1.576996,1143,20.02940728,2.130176407,19.22199008
NAVNETEDUL,2.406097666,11.1209258,3037.256975,20.58244802,137.3,0.937900847,960,4.151924016,2.34760195,12.07320815
IOC,2.67274474,30.30135293,196285.2135,25.18560413,139,0.955318109,46,11.1924165,1.043165949,4.70373045
NAHARINDUS,3.319967003,2.241693701,601.0760429,1.008159565,139.12,1.154976611,1731,27.71212738,0.619321247,61.77554397
SURYODAY,3.139097585,20.33815807,1483.948713,12.74157814,139.62,0.54328289,1284,6.354968578,0.82215047,6.871723606
KOKUYOCMLN,3.056490063,4.370721486,1405.858145,15.6876778,140.16,1.250000007,1303,65.08602523,4.744231583,32.06793214
LTF,2.407333623,9.339027751,35109.33329,10.27825401,140.76,1.971552568,233,13.63389833,1.492236833,15.13268104
MUNJALSHOW,3.230668985,7.690955601,568.40894,4.676584391,142.12,1.398633664,1756,18.66696026,0.855715378,18.4788342
PDMJEPAPER,4.329817919,10.33491311,1350.189,22.06929123,142.2,1.337127532,1321,10.66584248,2.74261426,13.75918679
BLISSGVS,3.589510742,7.227421698,1506.774575,7.859739015,143.05,0.652558073,1276,23.74369012,1.502282749,19.96521233
MAANALU,4.386668146,4.035633087,778.8220416,22.32145901,144,1.410742523,1581,33.51213604,4.77570543,23.78808924
SINTERCOM,1.78886412,0.421391856,397.3641106,1.156934125,144.35,1.154068548,1958,367.929732,3.939759177,342.5552677
GTPL,2.760626461,9.515126205,1629.364495,8.573248357,144.88,1.553689862,1234,25.49467211,1.266352023,15.22628254
AARTISURF,31.46284727,26.56083012,562.1725531,9.953336444,145,2.210792147,1764,36.55218161,2.345317284,26.35595654
SMCGLOBAL,3.279784458,17.88729704,1567.2543,18.42318835,149.69,-0.053963614,1257,7.256478841,1.42743686,8.36850865
IRFC,4.053161359,4.906536371,196667.9468,13.66331709,150.49,0.789974131,45,30.23000479,3.999057858,30.67133078
MANGCHEFER,3.23511051,13.05793023,1807.356038,17.76370146,152.5,0.643192915,1182,16.71620456,1.923353486,11.6754266
ELECTCAST,3.849404091,12.20145448,9470.587934,15.57971472,153.2,1.123852099,552,10.86649831,1.851753178,12.7999945
MRPL,4.178100279,20.52333167,27049.60952,31.07999986,154.34,1.203647017,279,29.82776782,2.036483279,7.519942599
AVANTEL,3.831047512,2.160209007,4120.013607,38.69803748,154.36,,844,70.12789118,25.10519534,78.40178129
SPECIALITY,2.833116393,6.314218267,746.1091425,10.15807467,154.68,1.439680064,1604,27.62344104,2.374253437,24.86201741
UNIENTER,2.719202914,5.553171117,1076.989356,1.522555465,154.86,1.278383729,1429,355.4420317,0.518918478,27.88682952
MANAPPURAM,2.996805056,25.85897484,13126.50978,20.60697987,155.08,1.664895913,458,5.809038389,1.133844788,5.997427583
SATIN,2.695567039,44.7463013,1735.940904,21.64071303,157.83,1.911789314,1201,4.436909658,0.723052629,3.981972483
RBLBANK,2.945537446,20.91680122,9606.205467,8.884007742,158.06,1.776588436,544,8.058423974,0.647430114,7.624638236
REMSONSIND,2.69481145,1.311583902,563.9201959,17.33750163,161.68,1.121575084,1761,39.16112471,5.067579043,42.36815897
MODISONLTD,4.207624569,6.579352851,531.04425,10.93441909,163.65,1.082174352,1795,27.12176966,2.610708667,24.87326698
SAMMAANCAP,3.233710425,19.6945622,11986.73408,6.537211515,164.37,2.426412928,473,-6.615487484,0.605638371,9.87058036
RCF,3.966894579,4.083466727,9119.955981,4.899596123,165.31,1.587432629,571,46.47821823,1.980128271,40.48275915
JTEKTINDIA,3.001613263,4.286221669,4207.579152,13.74437444,165.47,1.601234922,836,45.54149964,5.120702892,39.36363694
DEVYANI,2.271247586,0.392148688,20024.02187,4.087721271,166,,339,620.1307487,14.84811683,423.6095171
TNPL,2.337842928,30.00527546,1155.886231,10.32120838,167.01,1.30865708,1399,15.68366663,0.553129716,5.552607151
NYKAA,2.457427941,0.113025712,48673.30148,2.413577684,168.06,,188,1137.758333,37.99514572,1508.781819
BIRLAMONEY,3.58906843,9.380138644,955.7966257,38.97164294,169.14,1.299311498,1483,12.80370564,5.874234071,18.04070641
PRAKASH,3.733018327,19.44194911,3032.750943,11.64927378,169.35,1.698790307,961,8.659806812,1.002976749,8.71054641
DBREALTY,4.097115708,29.6508491,9171.144243,36.20125282,170.32,0.898686205,567,27.79640008,1.780929199,6.951101459
BANDHANBNK,2.975328235,13.8404351,27599.16074,10.82473576,171.32,1.739751347,274,9.89830997,1.277168927,12.37874771
HIMATSEIDE,3.405468448,11.45879081,2155.474318,7.501404602,171.42,1.159362913,1093,22.18479125,1.382644933,19.10542739
PTC,3.644310023,16.11035792,5079.20678,8.012224657,171.59,1.198142484,770,8.812559477,0.842280945,10.65091172
IEX,2.839349147,3.944885078,15269.13017,39.60886821,171.71,1.080565111,428,38.82804874,15.70623468,43.52783764
APTECHT,3.236513281,5.009788106,998.5815752,11.25249356,172.17,1.449476332,1461,49.73015813,3.840993827,34.3745809
CESC,3.200849079,10.33163602,23023.8328,11.77653378,173.69,1.477198027,319,16.30583059,1.920997952,16.72818164
KRITI,4.44942993,4.423073201,863.5972832,15.57187977,174.1,,1532,39.57824396,5.69392288,39.36177225
TFCILTD,4.48805342,10.08050595,1634.031871,8.648515227,176.47,1.307232409,1232,16.51037558,1.499634617,17.93668354
STARCEMENT,2.559399734,7.301442316,7149.951577,11.51311811,176.9,0.675150332,654,36.11451448,2.638241693,24.22808979
CUB,2.253606455,13.71626536,13211.03465,12.81005181,178.29,1.171495159,457,12.49234977,1.572474525,13.0061872
GULPOLY,3.295061884,2.845916472,1112.022535,3.046713412,178.77,1.685958703,1417,50.27226649,1.883762256,62.64915689
PRECWIRE,4.004056545,4.078110423,3213.699654,15.23072903,179.88,1.591849066,934,39.45126018,6.345667116,44.10787338
KECL,4.44677692,2.120032666,1255.558012,16.16439929,182.07,1.838774362,1352,90.00415858,15.24845776,89.17315428
ORIENTHOT,3.369942329,2.780527884,3267.293399,8.580858086,182.94,1.17334809,925,77.33238814,5.283121077,65.79326216
ENIL,3.993610373,6.815547966,873.1789916,4.760265192,183.17,1.128839803,1525,38.09681464,1.130489768,26.87531522
DHAMPURSUG,2.280348614,20.38623662,1198.619912,12.52955855,183.31,1.65292548,1376,16.72181797,1.088654883,8.923614594
DCMSRIND,3.069491845,13.2644099,1596.480579,15.06347704,183.52,,1247,13.09019825,1.957958963,13.83551936
GPPL,3.055235009,7.074509012,8875.956748,14.79259613,183.6,0.690482875,578,24.18187372,3.836891026,25.95233107
GLOBAL,3.773378245,16.61542391,378.2795874,43.88661867,185.79,0.692805166,2005,11.71506929,4.258466592,11.18177911
IPL,3.376054674,5.224745325,2141.695758,7.528072316,185.97,0.718277789,1099,30.40453944,2.594736804,35.59407941
ORBTEXP,3.393372544,12.76070491,497.5606902,15.09124734,187.99,0.609255107,1835,13.52067093,2.129330638,14.60407074
PRSMJOHNSN,3.031384662,3.598045743,9476.190975,11.59827733,188.26,1.59767461,551,-80.99308526,5.735464,52.32284786
GPIL,2.839564374,13.73545405,12618.20532,22.00701844,188.62,1.529890069,465,14.1269652,2.77083258,13.49035689
NIACL,4.207475795,6.774757282,31475.152,4.114794693,190.99,0.799561666,255,23.11986426,1.110404235,28.19141588
HINDOILEXP,3.318245041,17.11796154,2528.111427,21.34500995,191.07,1.881806225,1027,14.87999663,2.152646776,11.16509043
ABCAPITAL,2.600554922,13.29202637,50364.25476,13.21887476,193.31,1.699668946,179,13.4631025,1.758664769,15.10181613
GAIL,2.932215239,15.05561974,128135.5418,13.91289951,194.88,1.355152874,66,11.10378263,1.659877546,12.94400386
KOTHARIPET,3.534519771,10.84008537,1168.301672,29.08668095,195.89,0.939995991,1391,17.89952003,4.73859936,18.3148091
RPPINFRA,4.118576126,15.02756066,749.995802,14.47221941,196.95,1.792482611,1601,11.63325271,1.762953792,13.11181472
REDINGTON,2.53178277,15.59000269,15472.87954,16.08195778,197.92,1.043659679,425,12.83758093,1.968071476,12.69705038
MANINFRA,2.80712075,8.091573664,7386.074134,22.57076845,198.45,1.352397578,643,27.32041478,4.869896177,24.58746383
CASTROLIND,3.355801366,8.736330448,19633.0902,43.12327208,198.49,1.163764464,345,21.86848693,9.253514981,22.7200655
SCHAND,2.983927035,14.54929774,706.9888834,5.536013854,198.72,1.522250861,1644,17.40494543,0.748992376,13.82187455
BHAGERIA,3.60072313,4.371716916,867.3844333,3.71040196,198.74,1.320212201,1529,31.48400847,1.6612741,45.46040007
INDOBORAX,3.668651663,12.14708632,642.24926,14.21434562,200.14,,1695,14.98481708,2.188914011,16.47637917
TVTODAY,2.499106242,9.448853472,1196.594405,6.649251399,200.54,0.781263504,1378,11.93848554,1.379534471,21.22373901
PENIND,4.08213022,7.287346914,2706.481609,11.87358508,200.56,1.205235953,1005,25.23525976,3.084414976,27.52167591
ENGINERSIN,4.160501116,7.921000299,11344.8253,21.11823336,201.85,1.108567378,489,30.65423356,5.030273133,25.47910277
SUNFLAG,3.185473292,7.964179315,3658.274575,3.373572701,202.99,1.059867181,883,24.7850581,0.708239113,25.48787414
BEDMUTHA,3.375680443,6.493328578,657.8928586,9.825532314,203.91,0.091770047,1677,19.41832523,2.869010766,31.40300041
GRMOVER,3.914434126,9.961666667,1203.12,19.66862464,204.36,,1372,18.84586466,3.616339535,20.12916179
GSFC,3.473349238,14.15487593,8146.474623,4.554266617,204.44,1.486103328,611,15.4222112,0.64002849,14.44307961
THOMASCOOK,3.503303064,5.50682427,9521.165751,13.97503129,204.52,1.629365995,548,34.09793271,4.684736984,36.75700016
